case_id,customer_id,timestamp,stage,stage_order,stage_start_time,stage_end_time,duration,queue_time,processing_time,status,priority,order_value,region,employee_team,resource_utilization,queue_length,previous_stage,next_stage,sla_target,sla_violation,delay_cause,scenario
CASE-00001,CUST-2824,2026-08-01T08:06:08.009483,Order Received,1,2026-08-01T08:06:28.409483,2026-08-01T08:07:06.809483,0.99,0.34,0.64,COMPLETED,High,346.44,North America,Ingestion Gateway Team,0.381,1,,Payment Verification,5.0,False,None,normal
CASE-00001,CUST-2824,2026-08-01T08:08:00.385938,Payment Verification,2,2026-08-01T08:10:47.185938,2026-08-01T08:19:07.585938,11.13,2.78,8.34,COMPLETED,High,346.44,North America,Fraud & Finance Ops,0.504,8,Order Received,Inventory Check,15.0,False,None,normal
CASE-00001,CUST-2824,2026-08-01T08:19:59.543185,Inventory Check,3,2026-08-01T08:21:39.143185,2026-08-01T08:24:34.343185,4.58,1.66,2.92,COMPLETED,High,346.44,North America,Warehouse Stock Control,0.437,3,Payment Verification,Order Packing,10.0,False,None,normal
CASE-00001,CUST-2824,2026-08-01T08:25:11.531494,Order Packing,4,2026-08-01T08:27:50.531494,2026-08-01T08:32:40.331494,7.48,2.65,4.83,COMPLETED,High,346.44,North America,Fulfillment Station Alpha,0.672,5,Inventory Check,Shipping Preparation,25.0,False,None,normal
CASE-00001,CUST-2824,2026-08-01T08:33:06.354437,Shipping Preparation,5,2026-08-01T08:34:15.354437,2026-08-01T08:37:41.754437,4.6,1.15,3.44,COMPLETED,High,346.44,North America,Logistics Dispatch Hub,0.607,2,Order Packing,Shipment Dispatch,15.0,False,None,normal
CASE-00001,CUST-2824,2026-08-01T08:38:18.437690,Shipment Dispatch,6,2026-08-01T08:38:34.037690,2026-08-01T08:44:28.637690,6.17,0.26,5.91,COMPLETED,High,346.44,North America,Carrier Transfer Ops,0.522,1,Shipping Preparation,,20.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:12:56.842535,Order Received,1,2026-08-01T08:13:12.442535,2026-08-01T08:14:15.442535,1.31,0.26,1.05,COMPLETED,Standard,98.37,Europe,Ingestion Gateway Team,0.487,1,,Payment Verification,5.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:14:33.300370,Payment Verification,2,2026-08-01T08:16:54.900370,2026-08-01T08:22:24.300370,7.85,2.36,5.49,COMPLETED,Standard,98.37,Europe,Fraud & Finance Ops,0.682,5,Order Received,Inventory Check,15.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:23:08.101440,Inventory Check,3,2026-08-01T08:24:45.901440,2026-08-01T08:26:18.301440,3.17,1.63,1.54,COMPLETED,Standard,98.37,Europe,Warehouse Stock Control,0.509,3,Payment Verification,Order Packing,10.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:27:16.841502,Order Packing,4,2026-08-01T08:32:10.241502,2026-08-01T08:44:49.241502,17.54,4.89,12.65,COMPLETED,Standard,98.37,Europe,Fulfillment Station Alpha,0.734,9,Inventory Check,Shipping Preparation,25.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:45:10.648679,Shipping Preparation,5,2026-08-01T08:47:05.248679,2026-08-01T08:51:08.248679,5.96,1.91,4.05,COMPLETED,Standard,98.37,Europe,Logistics Dispatch Hub,0.528,4,Order Packing,Shipment Dispatch,15.0,False,None,normal
CASE-00002,CUST-5012,2026-08-01T08:52:00.028079,Shipment Dispatch,6,2026-08-01T08:53:39.028079,2026-08-01T08:58:53.428079,6.89,1.65,5.24,COMPLETED,Standard,98.37,Europe,Carrier Transfer Ops,0.509,3,Shipping Preparation,,20.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:10:30.664490,Order Received,1,2026-08-01T08:11:15.064490,2026-08-01T08:12:44.464490,2.24,0.74,1.49,COMPLETED,Standard,52.38,North America,Ingestion Gateway Team,0.496,2,,Payment Verification,5.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:13:00.018633,Payment Verification,2,2026-08-01T08:17:04.218633,2026-08-01T08:21:03.618633,8.05,4.07,3.99,COMPLETED,Standard,52.38,North America,Fraud & Finance Ops,0.673,10,Order Received,Inventory Check,15.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:21:31.501738,Inventory Check,3,2026-08-01T08:22:50.101738,2026-08-01T08:26:09.301738,4.64,1.31,3.32,COMPLETED,Standard,52.38,North America,Warehouse Stock Control,0.465,3,Payment Verification,Order Packing,10.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:26:51.904497,Order Packing,4,2026-08-01T08:30:37.504497,2026-08-01T08:40:24.304497,13.55,3.76,9.78,COMPLETED,Standard,52.38,North America,Fulfillment Station Alpha,0.574,10,Inventory Check,Shipping Preparation,25.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:41:12.822179,Shipping Preparation,5,2026-08-01T08:44:00.822179,2026-08-01T08:50:45.222179,9.55,2.8,6.74,COMPLETED,Standard,52.38,North America,Logistics Dispatch Hub,0.549,7,Order Packing,Shipment Dispatch,15.0,False,None,normal
CASE-00003,CUST-2679,2026-08-01T08:51:17.744148,Shipment Dispatch,6,2026-08-01T08:54:38.144148,2026-08-01T09:01:48.344148,10.51,3.34,7.17,COMPLETED,Standard,52.38,North America,Carrier Transfer Ops,0.463,8,Shipping Preparation,,20.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:14:34.408659,Order Received,1,2026-08-01T08:15:39.808659,2026-08-01T08:16:36.208659,2.03,1.09,0.94,COMPLETED,Standard,70.87,North America,Ingestion Gateway Team,0.396,2,,Payment Verification,5.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:17:02.116729,Payment Verification,2,2026-08-01T08:20:38.116729,2026-08-01T08:28:12.916729,11.19,3.6,7.58,COMPLETED,Standard,70.87,North America,Fraud & Finance Ops,0.674,10,Order Received,Inventory Check,15.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:28:33.872092,Inventory Check,3,2026-08-01T08:30:07.472092,2026-08-01T08:34:35.672092,6.03,1.56,4.47,COMPLETED,Standard,70.87,North America,Warehouse Stock Control,0.561,4,Payment Verification,Order Packing,10.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:35:02.936259,Order Packing,4,2026-08-01T08:39:05.336259,2026-08-01T08:47:59.336259,12.93,4.04,8.9,COMPLETED,Standard,70.87,North America,Fulfillment Station Alpha,0.635,11,Inventory Check,Shipping Preparation,25.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:48:52.651327,Shipping Preparation,5,2026-08-01T08:50:52.651327,2026-08-01T08:55:01.651327,6.15,2.0,4.15,COMPLETED,Standard,70.87,North America,Logistics Dispatch Hub,0.533,4,Order Packing,Shipment Dispatch,15.0,False,None,normal
CASE-00004,CUST-1520,2026-08-01T08:55:19.404865,Shipment Dispatch,6,2026-08-01T08:58:46.404865,2026-08-01T09:05:26.604865,10.12,3.45,6.67,COMPLETED,Standard,70.87,North America,Carrier Transfer Ops,0.465,8,Shipping Preparation,,20.0,False,None,normal
CASE-00005,CUST-4811,2026-08-01T08:24:03.841184,Order Received,1,2026-08-01T08:24:32.041184,2026-08-01T08:25:43.441184,1.66,0.47,1.19,COMPLETED,Standard,110.61,North America,Ingestion Gateway Team,0.41,1,,Payment Verification,5.0,False,None,normal
