case_id,customer_id,timestamp,stage,stage_order,stage_start_time,stage_end_time,duration,queue_time,processing_time,status,priority,order_value,region,employee_team,resource_utilization,queue_length,previous_stage,next_stage,sla_target,sla_violation,delay_cause,scenario
CASE-00001,CUST-7316,2026-08-01T08:11:04.570554,Order Received,1,2026-08-01T08:11:14.170554,2026-08-01T08:13:23.770554,2.32,0.16,2.16,COMPLETED,Standard,49.96,Latin America,Ingestion Gateway Team,0.373,1,,Payment Verification,5.0,False,None,packing_bottleneck
CASE-00001,CUST-7316,2026-08-01T08:13:46.900031,Payment Verification,2,2026-08-01T08:18:26.500031,2026-08-01T08:23:58.900031,10.2,4.66,5.54,COMPLETED,Standard,49.96,Latin America,Fraud & Finance Ops,0.588,8,Order Received,Inventory Check,15.0,False,None,packing_bottleneck
CASE-00001,CUST-7316,2026-08-01T08:24:31.941448,Inventory Check,3,2026-08-01T08:26:09.741448,2026-08-01T08:29:25.341448,4.89,1.63,3.26,COMPLETED,Standard,49.96,Latin America,Warehouse Stock Control,0.549,3,Payment Verification,Order Packing,10.0,False,None,packing_bottleneck
CASE-00001,CUST-7316,2026-08-01T08:30:19.155643,Order Packing,4,2026-08-01T09:04:46.755643,2026-08-01T09:33:44.355643,63.43,34.46,28.96,SLA_VIOLATED,Standard,49.96,Latin America,Fulfillment Station Alpha,0.937,75,Inventory Check,Shipping Preparation,25.0,True,Resource Shortage,packing_bottleneck
CASE-00001,CUST-7316,2026-08-01T09:34:38.701647,Shipping Preparation,5,2026-08-01T09:36:18.901647,2026-08-01T09:41:45.901647,7.12,1.67,5.45,COMPLETED,Standard,49.96,Latin America,Logistics Dispatch Hub,0.611,3,Order Packing,Shipment Dispatch,15.0,False,None,packing_bottleneck
CASE-00001,CUST-7316,2026-08-01T09:42:06.010536,Shipment Dispatch,6,2026-08-01T09:44:51.610536,2026-08-01T09:51:42.610536,9.62,2.76,6.85,COMPLETED,Standard,49.96,Latin America,Carrier Transfer Ops,0.42,7,Shipping Preparation,,20.0,False,None,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T08:07:09.287439,Order Received,1,2026-08-01T08:08:31.487439,2026-08-01T08:09:41.687439,2.54,1.37,1.17,COMPLETED,Standard,77.23,North America,Ingestion Gateway Team,0.422,2,,Payment Verification,5.0,False,None,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T08:10:31.713080,Payment Verification,2,2026-08-01T08:14:27.513080,2026-08-01T08:20:32.913080,10.02,3.93,6.09,COMPLETED,Standard,77.23,North America,Fraud & Finance Ops,0.666,12,Order Received,Inventory Check,15.0,False,None,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T08:21:11.359634,Inventory Check,3,2026-08-01T08:22:08.959634,2026-08-01T08:24:23.359634,3.2,0.96,2.24,COMPLETED,Standard,77.23,North America,Warehouse Stock Control,0.456,2,Payment Verification,Order Packing,10.0,False,None,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T08:24:49.155436,Order Packing,4,2026-08-01T08:47:44.355436,2026-08-01T09:10:53.955436,46.08,22.92,23.16,SLA_VIOLATED,Standard,77.23,North America,Fulfillment Station Alpha,0.918,46,Inventory Check,Shipping Preparation,25.0,True,Peak Workload,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T09:11:28.461929,Shipping Preparation,5,2026-08-01T09:13:42.261929,2026-08-01T09:18:51.861929,7.39,2.23,5.16,COMPLETED,Standard,77.23,North America,Logistics Dispatch Hub,0.61,6,Order Packing,Shipment Dispatch,15.0,False,None,packing_bottleneck
CASE-00002,CUST-7520,2026-08-01T09:19:24.991756,Shipment Dispatch,6,2026-08-01T09:23:29.191756,2026-08-01T09:31:11.791756,11.77,4.07,7.71,COMPLETED,Standard,77.23,North America,Carrier Transfer Ops,0.482,8,Shipping Preparation,,20.0,False,None,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T08:11:26.082537,Order Received,1,2026-08-01T08:12:28.482537,2026-08-01T08:13:14.082537,1.79,1.04,0.76,COMPLETED,Standard,129.88,Asia-Pacific,Ingestion Gateway Team,0.434,3,,Payment Verification,5.0,False,None,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T08:13:47.230170,Payment Verification,2,2026-08-01T08:15:32.230170,2026-08-01T08:20:57.430170,7.17,1.75,5.42,COMPLETED,Standard,129.88,Asia-Pacific,Fraud & Finance Ops,0.549,5,Order Received,Inventory Check,15.0,False,None,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T08:21:44.894814,Inventory Check,3,2026-08-01T08:23:58.094814,2026-08-01T08:27:34.694814,5.83,2.22,3.61,COMPLETED,Standard,129.88,Asia-Pacific,Warehouse Stock Control,0.481,5,Payment Verification,Order Packing,10.0,False,None,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T08:28:12.182027,Order Packing,4,2026-08-01T09:01:30.182027,2026-08-01T09:32:11.582027,63.99,33.3,30.69,SLA_VIOLATED,Standard,129.88,Asia-Pacific,Fulfillment Station Alpha,0.979,104,Inventory Check,Shipping Preparation,25.0,True,High Queue,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T09:32:32.671522,Shipping Preparation,5,2026-08-01T09:33:46.471522,2026-08-01T09:37:38.071522,5.09,1.23,3.86,COMPLETED,Standard,129.88,Asia-Pacific,Logistics Dispatch Hub,0.628,2,Order Packing,Shipment Dispatch,15.0,False,None,packing_bottleneck
CASE-00003,CUST-1591,2026-08-01T09:38:01.885071,Shipment Dispatch,6,2026-08-01T09:39:22.285071,2026-08-01T09:42:51.685071,4.84,1.34,3.49,COMPLETED,Standard,129.88,Asia-Pacific,Carrier Transfer Ops,0.41,3,Shipping Preparation,,20.0,False,None,packing_bottleneck
