case_id,customer_id,timestamp,stage,stage_order,stage_start_time,stage_end_time,duration,queue_time,processing_time,status,priority,order_value,region,employee_team,resource_utilization,queue_length,previous_stage,next_stage,sla_target,sla_violation,delay_cause,scenario
CASE-00001,CUST-4190,2026-08-01T08:03:33.466498,Order Received,1,2026-08-01T08:04:18.466498,2026-08-01T08:05:46.066498,2.21,0.75,1.46,COMPLETED,Standard,784.84,Asia-Pacific,Ingestion Gateway Team,0.517,1,,Payment Verification,5.0,False,None,payment_verification_bottleneck
CASE-00001,CUST-4190,2026-08-01T08:06:40.959926,Payment Verification,2,2026-08-01T08:35:33.759926,2026-08-01T08:47:19.959926,40.64,28.88,11.77,SLA_VIOLATED,Standard,784.84,Asia-Pacific,Fraud & Finance Ops,0.9,83,Order Received,Inventory Check,15.0,True,Manual Processing,payment_verification_bottleneck
CASE-00001,CUST-4190,2026-08-01T08:48:18.303121,Inventory Check,3,2026-08-01T08:50:14.703121,2026-08-01T08:53:34.503121,5.28,1.94,3.33,COMPLETED,Standard,784.84,Asia-Pacific,Warehouse Stock Control,0.521,5,Payment Verification,Order Packing,10.0,False,None,payment_verification_bottleneck
CASE-00001,CUST-4190,2026-08-01T08:53:59.762585,Order Packing,4,2026-08-01T08:58:18.362585,2026-08-01T09:08:52.562585,14.88,4.31,10.57,COMPLETED,Standard,784.84,Asia-Pacific,Fulfillment Station Alpha,0.56,8,Inventory Check,Shipping Preparation,25.0,False,None,payment_verification_bottleneck
CASE-00001,CUST-4190,2026-08-01T09:09:13.537021,Shipping Preparation,5,2026-08-01T09:12:48.337021,2026-08-01T09:17:18.937021,8.1,3.58,4.51,COMPLETED,Standard,784.84,Asia-Pacific,Logistics Dispatch Hub,0.566,10,Order Packing,Shipment Dispatch,15.0,False,None,payment_verification_bottleneck
CASE-00001,CUST-4190,2026-08-01T09:17:56.951186,Shipment Dispatch,6,2026-08-01T09:21:09.551186,2026-08-01T09:24:44.951186,6.79,3.21,3.59,COMPLETED,Standard,784.84,Asia-Pacific,Carrier Transfer Ops,0.591,7,Shipping Preparation,,20.0,False,None,payment_verification_bottleneck
CASE-00002,CUST-4514,2026-08-01T08:10:32.831013,Order Received,1,2026-08-01T08:11:16.031013,2026-08-01T08:12:30.431013,1.96,0.72,1.24,COMPLETED,High,108.7,Europe,Ingestion Gateway Team,0.369,1,,Payment Verification,5.0,False,None,payment_verification_bottleneck
CASE-00002,CUST-4514,2026-08-01T08:13:16.103363,Payment Verification,2,2026-08-01T08:46:47.903363,2026-08-01T08:59:44.303363,46.47,33.53,12.94,SLA_VIOLATED,High,108.7,Europe,Fraud & Finance Ops,0.898,93,Order Received,Inventory Check,15.0,True,Manual Processing,payment_verification_bottleneck
CASE-00002,CUST-4514,2026-08-01T09:00:19.709854,Inventory Check,3,2026-08-01T09:01:40.109854,2026-08-01T09:07:10.109854,6.84,1.34,5.5,COMPLETED,High,108.7,Europe,Warehouse Stock Control,0.409,2,Payment Verification,Order Packing,10.0,False,None,payment_verification_bottleneck
CASE-00002,CUST-4514,2026-08-01T09:07:49.719698,Order Packing,4,2026-08-01T09:11:25.719698,2026-08-01T09:18:16.719698,10.45,3.6,6.85,COMPLETED,High,108.7,Europe,Fulfillment Station Alpha,0.578,6,Inventory Check,Shipping Preparation,25.0,False,None,payment_verification_bottleneck
