case_id,customer_id,timestamp,stage,stage_order,stage_start_time,stage_end_time,duration,queue_time,processing_time,status,priority,order_value,region,employee_team,resource_utilization,queue_length,previous_stage,next_stage,sla_target,sla_violation,delay_cause,scenario
CASE-00001,CUST-1518,2026-08-01T08:05:06.032920,Order Received,1,2026-08-01T08:05:46.832920,2026-08-01T08:07:01.832920,1.94,0.68,1.25,COMPLETED,Urgent,401.44,Europe,Ingestion Gateway Team,0.437,1,,Payment Verification,5.0,False,None,unknown_inventory_bottleneck
CASE-00001,CUST-1518,2026-08-01T08:07:31.127340,Payment Verification,2,2026-08-01T08:10:44.327340,2026-08-01T08:16:37.727340,9.12,3.22,5.89,COMPLETED,Urgent,401.44,Europe,Fraud & Finance Ops,0.631,6,Order Received,Inventory Check,15.0,False,None,unknown_inventory_bottleneck
CASE-00001,CUST-1518,2026-08-01T08:16:54.442594,Inventory Check,3,2026-08-01T08:37:40.642594,2026-08-01T08:57:42.442594,40.81,20.77,20.03,SLA_VIOLATED,Urgent,401.44,Europe,Warehouse Stock Control,0.915,39,Payment Verification,Order Packing,10.0,True,Inventory Mismatch,unknown_inventory_bottleneck
CASE-00001,CUST-1518,2026-08-01T08:58:30.854726,Order Packing,4,2026-08-01T09:00:11.654726,2026-08-01T09:08:48.854726,10.3,1.68,8.62,COMPLETED,Urgent,401.44,Europe,Fulfillment Station Alpha,0.75,3,Inventory Check,Shipping Preparation,25.0,False,None,unknown_inventory_bottleneck
CASE-00001,CUST-1518,2026-08-01T09:09:46.545308,Shipping Preparation,5,2026-08-01T09:10:35.145308,2026-08-01T09:14:11.745308,4.42,0.81,3.61,COMPLETED,Urgent,401.44,Europe,Logistics Dispatch Hub,0.552,1,Order Packing,Shipment Dispatch,15.0,False,None,unknown_inventory_bottleneck
CASE-00001,CUST-1518,2026-08-01T09:14:55.805230,Shipment Dispatch,6,2026-08-01T09:16:03.605230,2026-08-01T09:19:01.205230,4.09,1.13,2.96,COMPLETED,Urgent,401.44,Europe,Carrier Transfer Ops,0.415,2,Shipping Preparation,,20.0,False,None,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T08:07:27.807511,Order Received,1,2026-08-01T08:08:24.207511,2026-08-01T08:09:05.607511,1.63,0.94,0.69,COMPLETED,Standard,92.34,Latin America,Ingestion Gateway Team,0.538,2,,Payment Verification,5.0,False,None,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T08:10:05.161271,Payment Verification,2,2026-08-01T08:13:56.761271,2026-08-01T08:21:22.561271,11.29,3.86,7.43,COMPLETED,Standard,92.34,Latin America,Fraud & Finance Ops,0.664,11,Order Received,Inventory Check,15.0,False,None,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T08:22:13.996515,Inventory Check,3,2026-08-01T08:39:45.796515,2026-08-01T09:01:43.996515,39.5,17.53,21.97,SLA_VIOLATED,Standard,92.34,Latin America,Warehouse Stock Control,0.934,36,Payment Verification,Order Packing,10.0,True,System Delay,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T09:02:34.917285,Order Packing,4,2026-08-01T09:08:16.317285,2026-08-01T09:14:37.917285,12.05,5.69,6.36,COMPLETED,Standard,92.34,Latin America,Fulfillment Station Alpha,0.609,11,Inventory Check,Shipping Preparation,25.0,False,None,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T09:15:28.897781,Shipping Preparation,5,2026-08-01T09:17:13.897781,2026-08-01T09:21:55.297781,6.43,1.75,4.69,COMPLETED,Standard,92.34,Latin America,Logistics Dispatch Hub,0.631,4,Order Packing,Shipment Dispatch,15.0,False,None,unknown_inventory_bottleneck
CASE-00002,CUST-5238,2026-08-01T09:22:46.128936,Shipment Dispatch,6,2026-08-01T09:24:34.128936,2026-08-01T09:31:36.528936,8.85,1.8,7.04,COMPLETED,Standard,92.34,Latin America,Carrier Transfer Ops,0.414,4,Shipping Preparation,,20.0,False,None,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T08:10:36.647809,Order Received,1,2026-08-01T08:10:42.647809,2026-08-01T08:12:09.047809,1.54,0.1,1.44,COMPLETED,Standard,63.43,Asia-Pacific,Ingestion Gateway Team,0.494,1,,Payment Verification,5.0,False,None,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T08:12:53.885279,Payment Verification,2,2026-08-01T08:16:48.485279,2026-08-01T08:20:58.685279,8.09,3.91,4.17,COMPLETED,Standard,63.43,Asia-Pacific,Fraud & Finance Ops,0.654,11,Order Received,Inventory Check,15.0,False,None,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T08:21:51.823610,Inventory Check,3,2026-08-01T08:42:54.823610,2026-08-01T08:57:05.023610,35.21,21.05,14.17,SLA_VIOLATED,Standard,63.43,Asia-Pacific,Warehouse Stock Control,0.956,46,Payment Verification,Order Packing,10.0,True,System Delay,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T08:57:19.965902,Order Packing,4,2026-08-01T09:01:50.565902,2026-08-01T09:14:53.565902,17.56,4.51,13.05,COMPLETED,Standard,63.43,Asia-Pacific,Fulfillment Station Alpha,0.576,8,Inventory Check,Shipping Preparation,25.0,False,None,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T09:15:29.433003,Shipping Preparation,5,2026-08-01T09:16:51.633003,2026-08-01T09:22:12.033003,6.71,1.37,5.34,COMPLETED,Standard,63.43,Asia-Pacific,Logistics Dispatch Hub,0.55,3,Order Packing,Shipment Dispatch,15.0,False,None,unknown_inventory_bottleneck
CASE-00003,CUST-2446,2026-08-01T09:22:27.697011,Shipment Dispatch,6,2026-08-01T09:27:16.297011,2026-08-01T09:34:29.497011,12.03,4.81,7.22,COMPLETED,Standard,63.43,Asia-Pacific,Carrier Transfer Ops,0.508,10,Shipping Preparation,,20.0,False,None,unknown_inventory_bottleneck
